Id,FacilityPoints,XX,YY
49,49,612711.842339,1189632.61556
50,50,612721.419317,1189635.49332
51,51,612730.996295,1189638.37108
52,52,612740.573272,1189641.24883
53,53,612750.15025,1189644.12659
54,54,612759.727228,1189647.00435
55,55,612769.304206,1189649.88211
56,56,612778.881183,1189652.75987
57,57,612788.458161,1189655.63763
58,58,612798.035139,1189658.51539
59,59,612807.612117,1189661.39315
60,60,612817.189095,1189664.27091
61,61,612826.766072,1189667.14867
62,62,612836.34305,1189670.02642
63,63,612845.920028,1189672.90418
64,64,612855.497006,1189675.78194
65,65,612865.073983,1189678.6597
66,66,612874.650961,1189681.53746
67,67,612884.227939,1189684.41522
68,68,612893.804917,1189687.29298
69,69,612903.381894,1189690.17074
70,70,612912.958872,1189693.0485
71,71,612922.53585,1189695.92626
72,72,612932.112828,1189698.80401
73,73,612941.689805,1189701.68177
74,74,612951.266783,1189704.55953
75,75,612960.843761,1189707.43729
76,76,612970.420739,1189710.31505
77,77,612979.997717,1189713.19281
78,78,612989.574694,1189716.07057
79,79,612999.151672,1189718.94833
80,80,613008.72865,1189721.82609
81,81,613018.305628,1189724.70385
82,82,613027.882605,1189727.5816
83,83,613037.459583,1189730.45936
84,84,613047.042824,1189733.31385
85,85,613056.770597,1189735.63127
86,86,613066.498369,1189737.94869
87,87,613076.226142,1189740.26611
88,88,613085.953915,1189742.58353
89,89,613095.681688,1189744.90095
90,90,613105.409461,1189747.21837
91,91,613115.137233,1189749.53579
92,92,613124.865006,1189751.85321
93,93,613134.592779,1189754.17063
94,94,613144.320552,1189756.48805
95,95,613154.048325,1189758.80547
96,96,613163.776097,1189761.12289
97,97,613173.50387,1189763.44031
98,98,613183.231643,1189765.75773
99,99,613192.959416,1189768.07515
