Id,XX,YY
0,612684.88301200000,1189162.66477000000
1,612684.88301200000,1189172.66477000000
2,612684.88301200000,1189182.66477000000
3,612684.88301200000,1189192.66477000000
4,612684.88301200000,1189202.66477000000
5,612684.88301200000,1189212.66477000000
6,612684.88301200000,1189222.66477000000
7,612684.88301200000,1189232.66477000000
8,612684.88301200000,1189242.66477000000
9,612684.88301200000,1189252.66477000000
10,612684.88301200000,1189262.66477000000
11,612684.88301200000,1189272.66477000000
12,612684.88301200000,1189282.66477000000
13,612684.88301200000,1189292.66477000000
14,612684.88301200000,1189302.66477000000
15,612684.88301200000,1189312.66477000000
16,612684.88301200000,1189322.66477000000
17,612684.88301200000,1189332.66477000000
18,612684.88301200000,1189342.66477000000
19,612684.88301200000,1189352.66477000000
20,612684.88301200000,1189362.66477000000
21,612684.88301200000,1189372.66477000000
22,612684.88301200000,1189382.66477000000
23,612684.88301200000,1189392.66477000000
24,612684.88301200000,1189402.66477000000
25,612684.88301200000,1189412.66477000000
26,612684.88301200000,1189422.66477000000
27,612684.88301200000,1189432.66477000000
28,612684.88301200000,1189442.66477000000
29,612684.88301200000,1189452.66477000000
30,612684.88301200000,1189462.66477000000
31,612684.88301200000,1189472.66477000000
32,612684.88301200000,1189482.66477000000
33,612684.88301200000,1189492.66477000000
34,612684.88301200000,1189502.66477000000
35,612684.88301200000,1189512.66477000000
36,612684.88301200000,1189522.66477000000
37,612684.88301200000,1189532.66477000000
38,612684.88301200000,1189542.66477000000
39,612684.88301200000,1189552.66477000000
40,612684.88301200000,1189562.66477000000
41,612684.88301200000,1189572.66477000000
42,612684.88301200000,1189582.66477000000
43,612684.88301200000,1189592.66477000000
44,612684.88301200000,1189602.66477000000
45,612684.88301200000,1189612.66477000000
46,612684.88301200000,1189622.66477000000
47,612692.68838400000,1189626.86004000000
48,612702.26536100000,1189629.73780000000
49,612711.84233900000,1189632.61556000000
50,612721.41931700000,1189635.49332000000
51,612730.99629500000,1189638.37108000000
52,612740.57327200000,1189641.24883000000
53,612750.15025000000,1189644.12659000000
54,612759.72722800000,1189647.00435000000
55,612769.30420600000,1189649.88211000000
56,612778.88118300000,1189652.75987000000
57,612788.45816100000,1189655.63763000000
58,612798.03513900000,1189658.51539000000
59,612807.61211700000,1189661.39315000000
60,612817.18909500000,1189664.27091000000
61,612826.76607200000,1189667.14867000000
62,612836.34305000000,1189670.02642000000
63,612845.92002800000,1189672.90418000000
64,612855.49700600000,1189675.78194000000
65,612865.07398300000,1189678.65970000000
66,612874.65096100000,1189681.53746000000
67,612884.22793900000,1189684.41522000000
68,612893.80491700000,1189687.29298000000
69,612903.38189400000,1189690.17074000000
70,612912.95887200000,1189693.04850000000
71,612922.53585000000,1189695.92626000000
72,612932.11282800000,1189698.80401000000
73,612941.68980500000,1189701.68177000000
74,612951.26678300000,1189704.55953000000
75,612960.84376100000,1189707.43729000000
76,612970.42073900000,1189710.31505000000
77,612979.99771700000,1189713.19281000000
78,612989.57469400000,1189716.07057000000
79,612999.15167200000,1189718.94833000000
80,613008.72865000000,1189721.82609000000
81,613018.30562800000,1189724.70385000000
82,613027.88260500000,1189727.58160000000
83,613037.45958300000,1189730.45936000000
84,613047.04282400000,1189733.31385000000
85,613056.77059700000,1189735.63127000000
86,613066.49836900000,1189737.94869000000
87,613076.22614200000,1189740.26611000000
88,613085.95391500000,1189742.58353000000
89,613095.68168800000,1189744.90095000000
90,613105.40946100000,1189747.21837000000
91,613115.13723300000,1189749.53579000000
92,613124.86500600000,1189751.85321000000
93,613134.59277900000,1189754.17063000000
94,613144.32055200000,1189756.48805000000
95,613154.04832500000,1189758.80547000000
96,613163.77609700000,1189761.12289000000
97,613173.50387000000,1189763.44031000000
98,613183.23164300000,1189765.75773000000
99,613192.95941600000,1189768.07515000000
100,613202.68718900000,1189770.39257000000
101,613212.38805000000,1189772.78824000000
102,613221.48327100000,1189776.94479000000
103,613230.57849200000,1189781.10135000000
104,613239.67371200000,1189785.25791000000
105,613248.76893300000,1189789.41446000000
106,613257.86415400000,1189793.57102000000
107,613266.95937500000,1189797.72757000000
108,613276.05459500000,1189801.88413000000
109,613285.14981600000,1189806.04069000000
110,613294.24503700000,1189810.19724000000
111,613303.34025800000,1189814.35380000000
112,613312.43547900000,1189818.51036000000
113,613321.53069900000,1189822.66691000000
114,613330.62592000000,1189826.82347000000
115,613339.72114100000,1189830.98002000000
116,613348.81636200000,1189835.13658000000
117,613357.91158300000,1189839.29314000000
118,613367.00680300000,1189843.44969000000
119,613376.10202400000,1189847.60625000000
120,613385.19724500000,1189851.76280000000
121,613394.29246600000,1189855.91936000000
122,613403.38768700000,1189860.07592000000
123,613412.48290700000,1189864.23247000000
124,613421.57812800000,1189868.38903000000
125,613430.67334900000,1189872.54558000000
126,613439.76857000000,1189876.70214000000
127,613448.80063700000,1189880.98977000000
128,613457.71932600000,1189885.51271000000
129,613466.63801500000,1189890.03565000000
130,613475.55670500000,1189894.55859000000
131,613484.47539400000,1189899.08153000000
132,613493.39408300000,1189903.60447000000
133,613502.31277300000,1189908.12741000000
134,613511.23146200000,1189912.65035000000
135,613520.15015100000,1189917.17329000000
136,613529.06884000000,1189921.69622000000
137,613537.98753000000,1189926.21916000000
138,613546.90621900000,1189930.74210000000
139,613555.82490800000,1189935.26504000000
140,613564.74359800000,1189939.78798000000
141,613573.66228700000,1189944.31092000000
142,613582.58097600000,1189948.83386000000
143,613591.49966500000,1189953.35680000000
144,613600.41835500000,1189957.87974000000
145,613609.33704400000,1189962.40268000000
146,613618.25573300000,1189966.92562000000
147,613627.17442300000,1189971.44856000000
148,613636.09311200000,1189975.97150000000
149,613645.01180100000,1189980.49444000000
150,613653.93049000000,1189985.01738000000
151,613662.84918000000,1189989.54032000000
152,613671.76786900000,1189994.06326000000
153,613680.68655800000,1189998.58620000000
154,613689.60524800000,1190003.10913000000
155,613698.52393700000,1190007.63207000000
156,613707.44262600000,1190012.15501000000
157,613716.36131500000,1190016.67795000000
158,613725.28000500000,1190021.20089000000
159,613734.19869400000,1190025.72383000000
160,613743.11738300000,1190030.24677000000
161,613752.03607300000,1190034.76971000000
162,613760.95476200000,1190039.29265000000
163,613769.87345100000,1190043.81559000000
164,613778.79214000000,1190048.33853000000
165,613787.71083000000,1190052.86147000000
166,613796.62951900000,1190057.38441000000
167,613805.54820800000,1190061.90735000000
168,613814.46689800000,1190066.43029000000
169,613823.38558700000,1190070.95323000000
170,613832.30427600000,1190075.47617000000
171,613841.22296500000,1190079.99911000000
172,613850.14165500000,1190084.52205000000
173,613859.06034400000,1190089.04498000000
174,613867.97903300000,1190093.56792000000
175,613876.89772300000,1190098.09086000000
176,613885.81641200000,1190102.61380000000
177,613894.73510100000,1190107.13674000000
178,613903.65379000000,1190111.65968000000
179,613912.57248000000,1190116.18262000000
180,613921.49116900000,1190120.70556000000
181,613930.49141600000,1190125.06328000000
182,613939.50558700000,1190129.39280000000
183,613948.51975700000,1190133.72232000000
184,613957.53392800000,1190138.05184000000
185,613966.54809800000,1190142.38136000000
186,613975.56226900000,1190146.71088000000
187,613984.57643900000,1190151.04040000000
188,613993.59060900000,1190155.36991000000
189,614002.60478000000,1190159.69943000000
190,614011.61895000000,1190164.02895000000
191,614020.63312100000,1190168.35847000000
192,614029.64729100000,1190172.68799000000
193,614038.66146200000,1190177.01751000000
194,614047.67563200000,1190181.34703000000
195,614056.68980300000,1190185.67654000000
196,614065.70397300000,1190190.00606000000
197,614074.71814300000,1190194.33558000000
198,614083.73231400000,1190198.66510000000
199,614092.74648400000,1190202.99462000000
200,614101.76065500000,1190207.32414000000
201,614110.77482500000,1190211.65366000000
202,614119.78899600000,1190215.98318000000
203,614128.80316600000,1190220.31269000000
204,614137.81733600000,1190224.64221000000
205,614146.83150700000,1190228.97173000000
206,614155.84567700000,1190233.30125000000
207,614164.85984800000,1190237.63077000000
208,614173.87401800000,1190241.96029000000
209,614182.88818900000,1190246.28981000000
210,614191.90235900000,1190250.61932000000
211,614200.91653000000,1190254.94884000000
212,614209.93070000000,1190259.27836000000
213,614218.94487000000,1190263.60788000000
214,614227.95904100000,1190267.93740000000
215,614236.97321100000,1190272.26692000000
216,614245.98738200000,1190276.59644000000
217,614255.00155200000,1190280.92595000000
218,614264.01572300000,1190285.25547000000
219,614273.02989300000,1190289.58499000000
